camis,dba,zipcode,cuisine_description
50047882,DUNKIN DONUTS,11372.0,Donuts
41274441,THE CREEK AND THE CAVE,11101.0,Mexican
41320919,PANERA BREAD,11385.0,Sandwiches
50010135,XI'AN FAMOUS FOODS,11355.0,Chinese
40925478,BELLA VIA,11101.0,Italian
40395036,AMERICAN AIRLINES EMPLOYEE CAFETERIA,11369.0,American
50044861,Lao Jie Special Soup Buns,11354.0,Chinese
50015035,AUNTIE ANNE'S PRETZELS,11385.0,Bagels/Pretzels
50016671,APERITIF,11361.0,French
40384458,DREAM PIZZA,11368.0,Pizza
41278894,SINGAS FAMOUS PIZZA,11355.0,Pizza
41653532,CRYSTAL LOUNGE,11103.0,American
50059136,VILLAGE CRAB & SEA,11354.0,Seafood
50057959,FIVE BOROUGH FOOD HALL,11430.0,Other
50048617,HALAL BUFFET,11435.0,Middle Eastern
40544529,CORATO PIZZA II,11385.0,Pizza/Italian
50038353,TOWERS RESTAURANT AND CATERING,11005.0,Continental
50005160,FAMOUS FAMIGLIA PIZZERIA,11372.0,Pizza
50012284,LIBERTY COFFEE SHOP,11417.0,American
50061068,SHAAPZ SPORTS BAR AND EATERY,11426.0,Indian
40399672,BAGELS & CREAM CAFE,11432.0,Bakery
50006255,FOREST HILL STATION HOUSE,11375.0,American
40987693,SHALIMAR DINER,11374.0,American
41235545,FAVELA,11103.0,Brazilian
50009155,SECRETS,11422.0,American
50046909,CLUB AMADEUS,11373.0,American
50041477,LAKE PAVILION,11355.0,Chinese
50042596,KENTA SUSHI BAR,11361.0,Japanese
50044942,FOGON LATINO BAR RESTAURANT,11372.0,Mexican
41311804,ESQUIRE DINER,11417.0,American
41690815,PERLAS,11377.0,Asian
50061293,AL-NAIMAT,11372.0,Indian
41061016,PEARL RESTAURANT,11419.0,Chinese
40647953,JACKSON DINER INDIAN CUISINE,11372.0,Indian
50066992,KUNG FU XIAO LONG BAO,11355.0,Chinese
50068274,GREAT WALL,11369.0,Chinese
50044575,DON FRANCISCO JUNIOR,11372.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50060814,39 KINGS,11354.0,Chinese
40735273,EL PARAISO BAR & RESTAURANT,11368.0,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)"
50003113,HIBISCUS RESTAURANT & LOUNGE II,11428.0,Caribbean
50015136,BABY'S GRILL AND RESTAURANT,11377.0,Filipino
50066378,FUTIGI SUSHI,11365.0,Japanese
41649157,EBENEZER PIZZERIA RESTAURANT,,Spanish
41311830,HERSHEYS ICE CREAM,11365.0,"Ice Cream, Gelato, Yogurt, Ices"
50018295,CRANBERRY,11101.0,Delicatessen
40716177,PIZZA HUT,11426.0,Pizza
