nRest;inspection_date;action;violation_code;violation_description;critical_flag;score;grade;inspection_type
41717895;05/18/2016;Violations were cited in the following area(s).;02B;Hot food item not held at or above 140Âº F.;Critical;17.0;;Cycle Inspection / Initial Inspection
50002395;04/18/2017;Violations were cited in the following area(s).;06C;Food not protected from potential source of contamination during storage, preparation, transportation, display or service.;Critical;28.0;;Cycle Inspection / Initial Inspection
50065306;09/19/2017;Violations were cited in the following area(s).;02B;Hot food item not held at or above 140Âº F.;CRITICAL;52.0;;Pre-permit (Operational) / Initial Inspection
41174904;06/19/2018;Violations were cited in the following area(s).;04A;Food Protection Certificate not held by supervisor of food operations.;Critical;10.0;A;Cycle Inspection / Re-inspection
41290190;08/08/2018;Violations were cited in the following area(s).;06D;Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.;Critical;40.0;;Cycle Inspection / Initial Inspection
41716909;06/07/2018;Violations were cited in the following area(s).;10F;Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.;Not Critical;17.0;;Cycle Inspection / Initial Inspection
50060685;09/07/2018;Violations were cited in the following area(s).;10B;"Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.";Not Critical;6.0;A;Cycle Inspection / Initial Inspection
41438759;10/30/2018;Violations were cited in the following area(s).;06C;Food not protected from potential source of contamination during storage, preparation, transportation, display or service.;Critical;17.0;;Cycle Inspection / Initial Inspection
40791157;07/06/2017;Violations were cited in the following area(s).;02G;Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.;CRITICAL;30.0;;Cycle Inspection / Initial Inspection
50044469;03/17/2016;Violations were cited in the following area(s).;06C;Food not protected from potential source of contamination during storage, preparation, transportation, display or service.;Critical;5.0;A;Pre-permit (Operational) / Re-inspection
50000823;04/27/2016;Violations were cited in the following area(s).;02B;Hot food item not held at or above 140Âº F.;CRITICAL;12.0;A;Cycle Inspection / Re-inspection
50081719;08/30/2018;Violations were cited in the following area(s).;08A;Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.;Not Critical;84.0;;Pre-permit (Operational) / Initial Inspection
40368291;10/26/2018;Violations were cited in the following area(s).;04N;Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.;Critical;25.0;;Cycle Inspection / Initial Inspection
50045479;02/07/2017;Violations were cited in the following area(s).;04L;Evidence of mice or live mice present in facility's food and/or non-food areas.;Critical;21.0;B;Cycle Inspection / Re-inspection
